name,link,category,Type
DaisyUI,https://daisyui.com/,UI components,Free
Flowbite,https://flowbite.com/,UI components,Free
MerakiUI,https://merakiui.com/,UI components,Free
Tailgrids,https://tailgrids.com/,UI components,Freemium
Flowbite React,https://www.flowbite-react.com/,UI components,Free
Material UI,https://mui.com/,UI components,Free
Next UI,https://nextui.org/?ref=horizon-ui.com,UI components,Free
Lunar UI,https://lunarui.dev/,UI components,Premium
Ant design,https://ant.design/?ref=horizon-ui.com,UI components,Free
Horizon UI,https://horizon-ui.com/?ref=devto-article,UI components,Freemium
Headless UI,https://headlessui.com/,UI components,Free
Chakra UI,https://chakra-ui.com/,UI components,Free
Mantine,https://mantine.dev/,UI components,Free
Semantic UI,https://semantic-ui.com/,UI components,Free
Grommet,https://v2.grommet.io/,UI components,Free
Onsen UI,https://onsen.io/,UI components,Free
Fluent UI,https://react.fluentui.dev/,UI components,Free
VisX,https://airbnb.io/visx,UI components,Free
Framer Motion,https://www.framer.com/motion/,Animations,Free
GSAP,"https://gsap.com/docs/v3/Installation/?checked=core,debug#CDN",Animations,Free
Anime JS,https://animejs.com/,Animations,Free
React Spring,https://www.react-spring.dev/,Animations,Free
Lottie,https://lottiefiles.com/,Animations,Free
Ant Motion,https://motion.ant.design/,Animations,Free
Remotion,https://www.remotion.dev/,Animations,Free
React Move,https://react-move-docs.netlify.app/,Animations,Free
React Flip Toolkit,https://github.com/aholachek/react-flip-toolkit,Animations,Free
React Awesome Reveal,https://react-awesome-reveal.morello.dev/,Animations,Free
React Charts,https://react-charts.tanstack.com/,Charts,Free
React Charts 2,https://react-chartjs-2.js.org/,Charts,Free
Recharts,https://blog.logrocket.com/top-8-react-chart-libraries/,Charts,Free
Apache Echarts,https://echarts.apache.org/en/index.html,Charts,Free
Canvas JS,https://canvasjs.com/react-charts/,Charts,Free
Tremor,https://www.tremor.so/,Charts,Free
ApexCharts,https://apexcharts.com/,Charts,Free
Material UI Charts,https://mui.com/x/react-charts/,Charts,Free
Victory,https://formidable.com/open-source/victory/,Charts,Free
Nivo,https://nivo.rocks/,Charts,Free
React Vis,https://uber.github.io/react-vis/,Charts,Free
BizCharts,https://github.com/alibaba/BizCharts,Charts,Free
React Stock Charts,http://rrag.github.io/react-stockcharts/,Charts,Free
LightWeight Charts,https://www.tradingview.com/lightweight-charts/,Charts,Free
React Time Series Charts,https://software.es.net/react-timeseries-charts/#/,Charts,Free
Rumble Charts,https://github.com/rumble-charts/rumble-charts,Charts,Free
ThreeJS,https://threejs.org/,3D Tools,Free
Spline,https://spline.design/,3D Tools,Free
React Three Fiber,https://docs.pmnd.rs/react-three-fiber/getting-started/introduction,3D Tools,Free
Babylon,https://www.babylonjs.com/,3D Tools,Free
MatterJS,https://brm.io/matter-js/,Animations,Free
PlayCanvas,https://playcanvas.com/,3D Tools,Free
Cesium JS,https://cesium.com/platform/cesiumjs/,3D Tools,Free
p5js,https://p5js.org/,Charts,Free
ZDog,https://zzz.dog/,3D Tools,Free
regl,http://regl.party/,3D Tools ,Free
WhiteStormJS,https://whsjs.readme.io/docs,3D Tools,Free
L7,https://github.com/antvis/L7/blob/master/README.en-US.md,3D Tools,Free
Threlte,https://threlte.xyz/,3D Tools,Free
Shader Pack,https://shaderpark.com/,3D Tools,Free
SpaceKit JS,https://typpo.github.io/spacekit/,3D Tools ,Free
shadcn,https://ui.shadcn.com/,UI components,Free
ChartJs,https://www.chartjs.org/,Charts,Free
React Icons,https://react-icons.github.io/react-icons/,Icons,Free
Unicons,https://iconscout.com/unicons,Icons,Free
React Feather,https://feathericons.com/,Icons,Free
Material Icons,https://mui.com/material-ui/material-icons/,Icons,Free
Styled icons,https://styled-icons.dev/,Icons,Free
IconPark,https://iconpark.oceanengine.com/home,Icons,Free
Ant design Icons,https://ant.design/components/icon,Icons,Free
Core UI Icons,https://coreui.io/react/docs/components/icon/,Icons,Free
Circum Icons,https://circumicons.com/,Icons,Free
